userId,firstName,middleName,lastName,email,streetAddress,city,state,zipcode,homePhone,workPhone,mobilePhone,password
"1","Josephine","\N","Darakjy","josephine_darakjy@darakjy.org","4 B Blue Ridge Blvd","Brighton","MI","48116","\N","810-292-9388","810-374-9840","\N"
"2","Yuki","\N","Whobrey","yuki_whobrey@aol.com","1 State Route 27","Taylor","MI","48180","\N","313-288-7937","313-341-4470","\N"
"3","Beckie","\N","Silvestrini","beckie.silvestrini@silvestrini.com","7116 Western Ave","Dearborn","MI","48126","\N","313-533-4884","313-390-7855","\N"
"4","Chaya","\N","Malvin","chaya@malvin.com","560 Civic Center Dr","Ann Arbor","MI","48103","\N","734-928-5182","734-408-8174","\N"
"5","Deonna","\N","Kippley","deonna_kippley@hotmail.com","57 Haven Ave #90","Southfield","MI","48075","\N","248-913-4677","248-793-4966","\N"
"6","Judy","\N","Aquas","jaquas@aquas.com","8977 Connecticut Ave Nw #3","Niles","MI","49120","\N","269-756-7222","269-431-9464","\N"
"7","Ligia","\N","Reiber","lreiber@cox.net","206 Main St #2804","Lansing","MI","48933","\N","517-906-1108","517-747-7664","\N"
"8","Cherry","\N","Lietz","cherry@lietz.com","40 9th Ave Sw #91","Waterford","MI","48329","\N","248-980-6904","248-697-7722","\N"
"9","Dulce","\N","Labreche","dulce_labreche@yahoo.com","9581 E Arapahoe Rd","Rochester","MI","48307","\N","248-357-8718","248-811-5696","\N"
"10","Markus","\N","Lukasik","markus@yahoo.com","89 20th St E #779","Sterling Heights","MI","48310","\N","586-970-7380","586-247-1614","\N"
"11","Sharee","\N","Maile","sharee_maile@aol.com","2094 Montour Blvd","Muskegon","MI","49442","\N","231-467-9978","231-265-6940","\N"
"12","Vilma","\N","Berlanga","vberlanga@berlanga.com","79 S Howell Ave","Grand Rapids","MI","49546","\N","616-737-3085","616-568-4113","\N"
"13","Quentin","\N","Swayze","quentin_swayze@yahoo.com","278 Bayview Ave","Milan","MI","48160","\N","734-561-6170","734-851-8571","\N"
"14","Kenneth","\N","Grenet","kenneth.grenet@grenet.org","2167 Sierra Rd","East Lansing","MI","48823","\N","517-499-2322","517-867-8077","\N"
"15","Edward","Marcus","Howard","e.howard@randatmail.com","9905 Hubbard St","Livonia","MI","48150","916-479-4600","916-479-4601","916-479-4602","\N"
"16","Hailey","Amelia","Phillips","h.phillips@randatmail.com","9901 Auburndale St","Livonia","MI","48150","478-986-6600","478-986-6601","478-986-6602","\N"
"17","Mike","Joss","Harper","m.harper@randatmail.com","1334 N Chestnut St","Lansing","MI","48906","762-271-4100","762-271-4101","762-271-4102","\N"
"18","Oscar","Byron","Morrison","o.morrison@randatmail.com","1900 N Hughes Rd","Howell","MI","48843","530-924-1900","530-924-1901","530-924-1902","\N"
"19","Melissa","Vickie","Tucker","m.tucker@randatmail.com","1640 S Hughes Rd","Brighton","MI","48114","002-937-5500","002-937-5501","002-937-5502","\N"
"20","Edward","Edwin","Bailey","e.bailey@randatmail.com","711 W 13 Mile Rd","Madison Heights","MI","48071","425-592-3200","425-592-3201","425-592-3202","\N"
"21","Connie","Caroline","Sullivan","c.sullivan@randatmail.com","16759 Highland Ln","Northville","MI","48167","259-729-1900","259-729-1901","259-729-1902","\N"
"22","Abigail","Melody","Bailey","a.bailey@randatmail.com","1031 Howard St","Temperance","MI","48182","476-563-0800","476-563-0801","476-563-0802","\N"
"23","Carl","Daniel","Wells","c.wells@randatmail.com","1158 Tanglewood Dr","Hemlock","MI","48626","574-101-6000","574-101-6001","574-101-6002","\N"
"24","Jared","Blake","Brown","j.brown@randatmail.com","5750 James Dr","Stevensville","MI","49127","571-129-1800","571-129-1801","571-129-1802","\N"
"25","Alen","Martie","Stewart","a.stewart@randatmail.com","1215 N Hickory St","Owosso","MI","48867","583-811-9900","583-811-9901","583-811-9902","\N"
"26","Julia","Daisy","Carter","j.carter@randatmail.com","633 Mabel St","Kalamazoo","MI","49007","646-272-7500","646-272-7501","646-272-7502","\N"
"27","Myra","Edwin","Howard","m.howard@randatmail.com","633 S Gainsborough Ave","Royal Oak","MI","48067","891-484-8600","891-484-8601","891-484-8602","\N"
"28","Florrie","Annabella","Holmes","f.holmes@randatmail.com","807 Emmons Ave","Birmingham","MI","48009","694-101-0800","694-101-0801","694-101-0802","\N"
"29","Richard","Jack","Edwards","r.edwards@randatmail.com","124 W Main St","Northville","MI","48167","405-127-0300","405-127-0301","405-127-0302","\N"
